"PLAYERS","DFG","BOT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Andrew Mangiapane                                3","F","SHF","CHI","30","$0.5","59","16","0.3"
"Phillip Danault                                3","F","UFA","LAK","33","$0.5","63","16","0.3"
"Brian Dumoulin                                3","D","UFA","LAK","35","$0.0","70","16","0.2"
"Jonas Brodin                                3","D","UFA","MIN","33","$0.5","52","16","0.3"
"Justus Annunen                                D","G","LPT","NSH","26","$0.5","23","16","0.7"
"Casey Cizikas                                3","F","UFA","NYI","35","$0.0","70","16","0.2"
"Max Shabanov                                3","F","SHF","NYI","25","$0.5","42","16","0.4"
"Sam Carrick                                3","F","UFA","BUF","34","$0.0","69","16","0.2"
"Jonathan Quick                                3","G","UFA","NYR","40","$1.5","23","16","0.7"
"Tyler Kleven                                3","D","UFA","OTT","24","$0.0","65","16","0.2"
"Leevi Merilainen                                B","G","LGN","OTT","24","$0.5","20","16","0.8"
"Michael Misa                                A","F","JHN","SJS","19","$0.9","31","16","0.5"
"Dalibor Dvorsky                                A","F","JHN","STL","21","$0.7","58","16","0.3"
"Scott Laughton                                3","F","UFA","LAK","32","$0.0","52","16","0.3"
"Anthony Stolarz                                3","G","UFA","TOR","32","$1.8","22","16","0.7"
"Kevin Lankinen                                3","G","UFA","VAN","31","$0.0","39","16","0.4"
"Ryan Strome                                3","F","UFA","CGY","33","$0.7","42","15","0.4"
"Adam Klapka                                3","F","UFA","CGY","26","$0.0","68","15","0.2"
"Pyotr Kochetkov                                IR","G","SHF","CAR","27","$2.4","9","15","1.7"
"Jason Dickinson                                3","F","UFA","EDM","31","$0.0","56","15","0.3"
"Dominic James                                3","F","UFA","TBL","24","$0.0","43","15","0.3"
"Arvid Soderblom                                3","G","UFA","CHI","27","$0.0","21","15","0.7"
"Kasperi Kapanen                                3","F","UFA","EDM","30","$0.5","30","15","0.5"
"Uvis Balinskis                                3","D","UFA","FLA","30","$0.0","54","15","0.3"
"Mikey Anderson                                3","D","UFA","LAK","27","$0.0","68","15","0.2"
"Warren Foegele                                3","F","UFA","OTT","30","$0.6","56","15","0.3"
"Jacob Fowler                                A","G","LGN","MTL","21","$0.6","13","15","1.2"
"Matthew Robertson                                3","D","UFA","NYR","25","$0.0","61","15","0.2"
"Braden Schneider                                3","D","UFA","NYR","24","$0.0","71","15","0.2"
"Ben Meyers                                3","F","UFA","SEA","27","$0.0","44","15","0.3"
"Oskar Sundqvist                                3","F","UFA","STL","32","$0.0","49","15","0.3"
"Zemgus Girgensons                                3","F","UFA","TBL","32","$0.8","62","15","0.2"
"Steven Lorentz                                3","F","UFA","TOR","30","$0.0","61","15","0.2"
"Max Sasson                                3","F","UFA","VAN","26","$0.0","58","15","0.3"
"Ben Hutton                                3","D","UFA","VGK","33","$0.0","52","15","0.3"
"Ross Johnston                                3","F","UFA","ANA","32","$0.0","62","14","0.2"
"William Carrier                                3","F","UFA","CAR","31","$0.0","59","14","0.2"
"Wyatt Kaiser                                3","D","UFA","CHI","24","$0.0","65","14","0.2"
"Connor Murphy                                3","D","UFA","EDM","33","$0.0","69","14","0.2"
"Miles Wood                                3","F","UFA","CBJ","31","$0.0","44","14","0.3"
"Michael Rasmussen                                3","F","UFA","DET","27","$0.5","61","14","0.2"
"Alex Turcotte                                C","F","JHN","LAK","25","$0.8","61","14","0.2"
"Jake Middleton                                3","D","UFA","MIN","30","$0.0","64","14","0.2"
"Liam Ohgren                                A","F","ZSK","VAN","22","$0.5","56","14","0.3"
"Kirby Dach                                3","F","UFA","MTL","25","$0.9","32","14","0.4"
"Nicolas Hague                                3","D","UFA","NSH","27","$0.0","56","14","0.3"
"Paul Cotter                                3","F","UFA","NJD","26","$0.0","66","14","0.2"
"Brenden Dillon                                3","D","UFA","NJD","35","$0.0","69","14","0.2"
"Ondrej Palat                                3","F","UFA","NYI","35","$0.8","70","14","0.2"
"Adam Pelech                                3","D","UFA","NYI","32","$0.5","71","14","0.2"
"Nikita Grebenkin                                3","F","UFA","PHI","23","$0.0","55","14","0.3"
"Ryker Evans                                3","D","UFA","SEA","24","$0.0","54","14","0.3"
"Colten Ellis                                3","G","UFA","BUF","25","$0.0","13","14","1.1"
"Colton Parayko                                3","D","SHF","STL","33","$0.6","64","14","0.2"
"Ryan McDonagh                                3","D","UFA","TBL","37","$0.6","36","14","0.4"
"Dakota Joshua                                3","F","UFA","TOR","30","$0.0","48","14","0.3"
"Marcus Pettersson                                3","D","UFA","VAN","30","$0.5","69","14","0.2"
"Kaedan Korczak                                3","D","UFA","VGK","25","$0.0","70","14","0.2"
"Cole Koepke                                3","F","UFA","WPG","28","$0.0","54","14","0.3"
"Radko Gudas                                3","D","UFA","ANA","36","$0.0","52","13","0.3"
"Andrew Peeke                                3","D","UFA","BOS","28","$0.0","66","13","0.2"
"Beck Malenstyn                                3","F","UFA","BUF","28","$0.0","70","13","0.2"
"Sam Rinzel                                A","D","LGN","CHI","22","$0.5","42","13","0.3"
"Gavin Brindley                                3","F","UFA","COL","21","$0.0","56","13","0.2"
"Samuel Girard                                3","D","VPP","PIT","28","$0.5","49","13","0.3"
"Mason Appleton                                3","F","UFA","DET","30","$0.0","60","13","0.2"
"Troy Stecher                                3","D","UFA","TOR","32","$0.6","55","13","0.2"
"Vinnie Hinostroza                                3","F","UFA","FLA","32","$0.5","53","13","0.2"
"Fedor Svechkov                                3","F","UFA","NSH","23","$0.0","58","13","0.2"
"Emil Andrae                                3","D","UFA","PHI","24","$0.0","50","13","0.3"
"Tyson Foerster                                B","F","LGN","PHI","24","$0.5","21","13","0.6"
"Jeff Skinner                                3","F","UFA","SJS","34","$3.6","32","13","0.4"
"Berkly Catton                                A","F","LGN","SEA","20","$0.8","53","13","0.2"
"Jamie Oleksiak                                3","D","UFA","SEA","33","$0.0","67","13","0.2"
"Tyler Tucker                                3","D","UFA","STL","26","$0.0","61","13","0.2"
"Dennis Hildeby                                3","G","UFA","TOR","25","$0.0","19","13","0.7"
"Vitek Vanecek                                3","G","UFA","UTA","30","$5.5","18","13","0.7"
"Aatu Raty                                A","F","VPP","VAN","23","$0.6","53","13","0.2"
"Hendrix Lapierre                                B","F","SRL","WSH","24","$0.5","66","13","0.2"
"Vladislav Namestnikov                                3","F","UFA","WPG","33","$0.5","57","13","0.2"
"Tanner Pearson                                3","F","UFA","BUF","34","$0.0","53","13","0.2"
"Dylan Samberg                                3","D","UFA","WPG","27","$0.0","54","13","0.2"
"Matt Grzelcyk                                3","D","UFA","CHI","32","$0.0","51","13","0.3"
"Conor Sheary                                3","F","UFA","NYR","34","$0.0","51","13","0.3"
"Drew Helleson                                3","D","UFA","ANA","25","$0.0","53","12","0.2"
"Ian Moore                                3","D","UFA","ANA","24","$0.0","55","12","0.2"
"Matvei Gridin                                A","F","JHN","CGY","20","$0.5","26","12","0.5"
"Yan Kuznetsov                                3","D","UFA","CGY","24","$0.0","52","12","0.2"
"Tyson Jost                                3","F","UFA","NSH","28","$0.5","57","12","0.2"
"Nick Foligno                                3","F","UFA","MIN","38","$0.6","45","12","0.3"
"Colin Blackwell                                3","F","UFA","DAL","33","$0.0","59","12","0.2"
"Ben Chiarot                                3","D","UFA","DET","35","$0.5","70","12","0.2"
"Ty Emberson                                3","D","UFA","EDM","26","$0.0","61","12","0.2"
"Adam Henrique                                3","F","UFA","EDM","36","$0.5","54","12","0.2"
"Adam Wilsby                                3","D","UFA","NSH","26","$0.0","46","12","0.3"
"Will Borgen                                3","D","UFA","NYR","29","$0.0","64","12","0.2"
"Lars Eller                                3","F","UFA","OTT","37","$0.5","56","12","0.2"
"Sam Dickinson                                A","D","JHN","SJS","20","$0.7","58","12","0.2"
"Carl Grundstrom                                3","F","UFA","PHI","28","$0.0","39","12","0.3"
"Nick Paul                                3","F","UFA","TBL","31","$0.8","39","12","0.3"
"Zach Whitecloud                                3","D","UFA","CGY","29","$0.0","66","12","0.2"
"Gustav Nyquist                                3","F","UFA","WPG","37","$1.8","49","12","0.2"
"Jonathan Aspirot                                3","D","UFA","BOS","27","$0.0","49","11","0.2"
"Brett Kulak                                3","D","UFA","COL","32","$0.0","70","11","0.2"
"Niko Mikkola                                3","D","UFA","FLA","30","$0.5","68","11","0.2"
"Marcus Foligno                                3","F","UFA","MIN","35","$0.0","48","11","0.2"
"Nico Sturm                                3","F","UFA","MIN","31","$0.0","46","11","0.2"
"Scott Mayfield                                3","D","UFA","NYI","33","$0.5","69","11","0.2"
"Jonny Brodzinski                                3","F","UFA","NYR","33","$0.0","45","11","0.2"
"Stephen Halliday                                3","F","UFA","OTT","24","$0.0","28","11","0.4"
"Denver Barkey                                3","F","UFA","PHI","21","$0.0","32","11","0.3"
"Igor Chernyshov                                A","F","ZSK","SJS","20","$0.5","16","11","0.7"
"Ty Dellandrea                                3","F","UFA","SJS","26","$0.5","42","11","0.3"
"Barclay Goodrow                                3","F","UFA","SJS","33","$0.8","68","11","0.2"
"Timothy Liljegren                                3","D","UFA","WSH","27","$0.5","46","11","0.2"
"Mathieu Joseph                                3","F","UFA","STL","29","$0.0","42","11","0.3"
"Nathan Walker                                3","F","UFA","STL","32","$0.0","41","11","0.3"
"Teddy Blueger                                3","F","UFA","VAN","32","$0.0","22","11","0.5"
"Henri Jokiharju                                3","D","UFA","BOS","27","$0.0","36","10","0.3"
"Colton Dach                                3","F","UFA","EDM","23","$0.0","56","10","0.2"
"Zakhar Bardakov                                3","F","UFA","COL","25","$0.0","55","10","0.2"
"Dante Fabbro                                3","D","HSM","CBJ","28","$0.5","62","10","0.2"
"Isac Lundestrom                                3","F","UFA","CBJ","26","$0.0","56","10","0.2"
"Oskar Back                                3","F","UFA","DAL","26","$0.0","60","10","0.2"
"Calvin Pickard                                3","G","UFA","EDM","34","$0.5","16","10","0.6"
"Jesper Boqvist                                3","F","UFA","FLA","27","$0.0","60","10","0.2"
"Kaiden Guhle                                3","D","UFA","MTL","24","$0.5","29","10","0.3"
"Sam Montembeault                                3","G","MAC","MTL","29","$0.5","14","10","0.7"
"Nick Perbix                                3","D","UFA","NSH","28","$0.0","67","10","0.1"
"Cole Smith                                3","F","UFA","VGK","30","$0.0","52","10","0.2"
"Spencer Stastney                                3","D","UFA","EDM","26","$0.0","66","10","0.2"
"Carson Soucy                                3","D","UFA","NYI","32","$0.0","65","10","0.2"
"Rodrigo Abols                                3","F","UFA","PHI","30","$0.0","42","10","0.2"
"Noah Juulsen                                3","D","UFA","PHI","29","$0.0","49","10","0.2"
"Shakir Mukhamadullin                                3","D","UFA","SJS","24","$0.0","37","10","0.3"
"Pavol Regenda                                3","F","UFA","SJS","26","$0.0","21","10","0.5"
"Max Crozier                                3","D","UFA","TBL","26","$0.0","34","10","0.3"
"Nikita Tolopilo                                3","G","UFA","VAN","26","$0.0","15","10","0.7"
"Jeremy Lauzon                                3","D","UFA","VGK","29","$0.0","57","10","0.2"
"Colton Sissons                                3","F","UFA","VGK","32","$0.0","55","10","0.2"
"Carter Hart                                3","G","UFA","VGK","28","$0.0","12","10","0.8"
"Nikita Nesterenko                                3","F","UFA","ANA","25","$0.0","29","9","0.3"
"Ryan Lomberg                                3","F","UFA","CGY","31","$0.0","56","9","0.2"
"Jesperi Kotkaniemi                                3","F","UFA","CAR","26","$0.5","37","9","0.2"
"Joel Nystrom                                3","D","UFA","CAR","24","$0.0","37","9","0.2"
"Mike Reilly                                3","D","UFA","CAR","33","$0.6","37","9","0.2"
"Nick Lardis                                3","F","UFA","CHI","21","$0.0","29","9","0.3"
"Joel Kiviranta                                3","F","UFA","COL","30","$0.0","39","9","0.2"
"Nils Lundkvist                                3","D","UFA","DAL","26","$0.5","43","9","0.2"
"Albert Johansson                                3","D","UFA","DET","25","$0.0","70","9","0.1"
"Jeff Malott                                3","F","UFA","LAK","30","$0.0","52","9","0.2"
"Jayden Struble                                3","D","UFA","MTL","25","$0.0","46","9","0.2"
"Ryan Lindgren                                3","D","UFA","SEA","28","$0.0","65","9","0.1"
"Erik Cernak                                3","D","UFA","TBL","29","$0.0","48","9","0.2"
"Tyler Myers                                3","D","UFA","DAL","36","$1.1","64","9","0.1"
"Alexander Holtz                                B","F","LGN","VGK","24","$0.7","28","9","0.3"
"Pierre-Luc Dubois                                IR","F","VPP","WSH","28","$1.8","19","9","0.5"
"Neal Pionk                                3","D","VPP","WPG","31","$1.4","42","9","0.2"
"Jansen Harkins                                3","F","UFA","ANA","29","$0.0","43","8","0.2"
"Frank Vatrano                                3","F","UFA","ANA","32","$0.5","44","8","0.2"
"Isak Rosen                                A","F","LGN","WPG","23","$0.5","25","8","0.3"
"Ilya Solovyov                                3","D","UFA","CGY","26","$0.0","27","8","0.3"
"Ilya Lyubushkin                                3","D","UFA","DAL","32","$0.0","45","8","0.2"
"Mattias Janmark                                3","F","UFA","EDM","33","$0.7","43","8","0.2"
"Jeff Petry                                3","D","MAC","MIN","38","$0.5","59","8","0.1"
"Cody Ceci                                3","D","UFA","LAK","32","$0.6","70","8","0.1"
"Samuel Helenius                                3","F","UFA","LAK","23","$0.0","42","8","0.2"
"Sammy Blais                                3","F","UFA","MTL","30","$0.0","21","8","0.4"
"Rasmus Ristolainen                                3","D","UFA","PHI","31","$0.8","32","8","0.3"
"Nick Seeler                                3","D","UFA","PHI","33","$0.0","67","8","0.1"
"Danton Heinen                                3","F","UFA","CBJ","31","$0.0","35","8","0.2"
"Nick Bjugstad                                3","F","UFA","NJD","34","$1.1","48","8","0.2"
"Logan Mailloux                                3","D","UFA","STL","23","$0.0","54","8","0.1"
"Otto Stenberg                                3","F","UFA","STL","21","$0.0","23","8","0.3"
"Alexey Toropchenko                                3","F","UFA","STL","27","$0.0","53","8","0.2"
"Calle Jarnkrok                                3","F","UFA","TOR","34","$2.9","47","8","0.2"
"Cole Reinhardt                                3","F","UFA","FLA","26","$0.0","49","8","0.2"
"Brandon Saad                                3","F","UFA","VGK","33","$0.5","46","8","0.2"
"Brandon Duhaime                                3","F","UFA","WSH","29","$0.0","71","8","0.1"
"Sonny Milano                                3","F","UFA","WSH","30","$0.0","31","8","0.3"
"Jeffrey Viel                                3","F","UFA","BOS","29","$0.0","33","7","0.2"
"Joel Hanley                                3","D","UFA","CGY","35","$0.0","66","7","0.1"
"Drew Commesso                                B","G","BOT","CHI","24","$0.5","3","7","2.3"
"Lukas Reichel                                B","F","BOT","BOS","24","$0.5","21","7","0.3"
"Nathan Bastian                                3","F","UFA","DAL","28","$0.0","34","7","0.2"
"Nate Danielson                                A","F","SHF","DET","21","$0.5","28","7","0.3"
"Justin Barron                                3","D","UFA","NSH","24","$0.5","42","7","0.2"
"Reid Schaefer                                3","F","UFA","NSH","22","$0.0","35","7","0.2"
"Stefan Noesen                                3","F","UFA","NJD","33","$2.4","38","7","0.2"
"Brett Pesce                                3","D","UFA","NJD","31","$0.5","37","7","0.2"
"Jonas Siegenthaler                                3","D","UFA","NJD","29","$0.0","69","7","0.1"
"Ville Koivunen                                A","F","LPT","PIT","23","$0.5","33","7","0.2"
"Jack St. Ivany                                3","D","UFA","PIT","27","$0.0","17","7","0.4"
"Brandon Carlo                                3","D","UFA","TOR","29","$0.0","48","7","0.1"
"Daniil But                                3","F","UFA","UTA","21","$0.0","28","7","0.3"
"William Karlsson                                3","F","UFA","VGK","33","$1.1","14","7","0.5"
"Declan Chisholm                                3","D","UFA","WSH","26","$0.0","26","7","0.3"
"Luke Schenn                                3","D","UFA","BUF","36","$0.0","48","7","0.1"
"Petr Mrazek                                3","G","UFA","ANA","34","$1.1","10","6","0.6"
"John Beecher                                3","F","UFA","CGY","25","$0.0","32","6","0.2"
"Jacob Bryson                                3","D","UFA","WPG","28","$0.0","42","6","0.1"
"Zach Metsa                                3","D","UFA","BUF","27","$0.0","38","6","0.2"
"Conor Timmins                                3","D","UFA","BUF","27","$0.5","33","6","0.2"
"Landon Slaggert                                3","F","UFA","CHI","24","$0.0","42","6","0.1"
"Brendan Gaunce                                3","F","UFA","CBJ","32","$0.0","25","6","0.2"
"Lian Bichsel                                3","D","UFA","DAL","22","$0.0","39","6","0.2"
"Trent Frederic                                3","F","SHF","EDM","28","$0.5","67","6","0.1"
"Taylor Ward                                3","F","UFA","LAK","28","$0.0","27","6","0.2"
"Zach Bogosian                                3","D","UFA","MIN","36","$0.0","37","6","0.2"
"Lenni Hameenaho                                3","F","UFA","NJD","21","$0.0","21","6","0.3"
"Scott Morrow                                3","D","UFA","NYR","23","$0.0","29","6","0.2"
"Urho Vaakanainen                                3","D","UFA","NYR","27","$0.0","33","6","0.2"
"Jani Nyman                                3","F","UFA","SEA","22","$0.0","26","6","0.2"
"Emil Lilleberg                                3","D","UFA","TBL","25","$0.0","37","6","0.2"
"David Kampf                                3","F","UFA","WSH","31","$0.0","38","6","0.2"
"Alexander Kerfoot                                3","F","UFA","UTA","32","$0.0","23","6","0.3"
"Olli Maatta                                3","D","UFA","UTA","32","$0.5","31","6","0.2"
"Adam Erne                                3","F","UFA","DAL","31","$0.0","35","6","0.2"
"Luke Glendening                                3","F","UFA","NJD","37","$0.0","57","6","0.1"
"Tim Washe                                3","F","UFA","ANA","25","$0.0","27","5","0.2"
"Jordan Greenway                                3","F","UFA","BUF","29","$0.6","33","5","0.2"
"Jiri Kulich                                A","F","LGN","BUF","22","$0.6","12","5","0.4"
"Trent Miner                                3","G","UFA","COL","25","$0.0","4","5","1.3"
"Daemon Hunt                                3","D","UFA","MIN","24","$0.0","29","5","0.2"
"Kyle Capobianco                                3","D","UFA","DAL","29","$0.0","31","5","0.2"
"Elmer Soderblom                                3","F","UFA","PIT","25","$0.0","47","5","0.1"
"Isaac Howard                                A","F","JHN","EDM","22","$0.6","28","5","0.2"
"Curtis Lazar                                3","F","UFA","EDM","31","$0.5","38","5","0.1"
"David Tomasek                                3","F","UFA","EDM","30","$0.5","22","5","0.2"
"Luke Kunin                                3","F","UFA","FLA","28","$0.5","50","5","0.1"
"Sandis Vilmanis                                3","F","UFA","FLA","22","$0.0","19","5","0.3"
"Ryan Ufko                                3","D","LGN","NSH","23","$0.5","9","5","0.6"
"Ozzy Wiesblatt                                3","F","UFA","NSH","24","$0.0","38","5","0.1"
"Adam Edstrom                                3","F","UFA","NYR","25","$0.0","35","5","0.1"
"Nikolas Matinpalo                                3","D","UFA","OTT","27","$0.0","38","5","0.1"
"Connor Clifton                                3","D","UFA","PIT","31","$0.0","39","5","0.1"
"Kevin Hayes                                3","F","UFA","PIT","34","$0.5","25","5","0.2"
"Rutger McGroarty                                A","F","LGN","PIT","22","$0.5","20","5","0.3"
"Sergei Murashov                                3","G","UFA","PIT","22","$0.0","5","5","1.0"
"Vincent Desharnais                                3","D","UFA","SJS","30","$0.0","40","5","0.1"
"Zack Ostapchuk                                3","F","UFA","SJS","23","$0.0","45","5","0.1"
"Jacob Melanson                                3","F","UFA","SEA","23","$0.0","32","5","0.2"
"Jack Finley                                3","F","UFA","TBL","24","$0.0","34","5","0.1"
"Simon Benoit                                3","D","UFA","TOR","27","$0.0","62","5","0.1"
"Bo Groulx                                3","F","UFA","TOR","26","$0.0","7","5","0.7"
"Arshdeep Bains                                3","F","UFA","VAN","25","$0.0","28","5","0.2"
"P.O Joseph                                3","D","UFA","VAN","27","$0.0","24","5","0.2"
"Tanner Laczynski                                3","F","UFA","VGK","29","$0.0","10","5","0.5"
"Brad Lambert                                3","F","UFA","WPG","22","$0.0","13","5","0.4"
"Josh Dunne                                3","F","UFA","BUF","27","$0.0","31","4","0.1"
"Konsta Helenius                                A","F","VPP","BUF","20","$0.5","9","4","0.4"
"Tyson Kozak                                3","F","UFA","BUF","23","$0.0","40","4","0.1"
"Samuel Honzek                                3","F","UFA","CGY","21","$0.0","18","4","0.2"
"Brayden Pachal                                3","D","UFA","CGY","27","$0.0","32","4","0.1"
"Cayden Primeau                                E","G","LPT","CAR","27","$0.5","3","4","1.3"
"Jaccob Slavin                                3","D","LGN","CAR","32","$0.7","30","4","0.1"
"Jacob Bernard-Docker                                3","D","UFA","DET","26","$0.0","54","4","0.1"
"John Leonard                                3","F","UFA","DET","28","$0.0","11","4","0.4"
"Joe Veleno                                3","F","UFA","MTL","26","$0.5","51","4","0.1"
"Johnathan Kovacevic                                3","D","UFA","NJD","29","$0.0","21","4","0.2"
"Colton White                                3","D","UFA","NJD","29","$0.0","23","4","0.2"
"Marc Gatcomb                                3","F","UFA","NYI","27","$0.0","39","4","0.1"
"Maxim Tsyplakov                                3","F","UFA","NJD","27","$0.0","42","4","0.1"
"Alex Bump                                3","F","UFA","PHI","22","$0.0","8","4","0.5"
"Filip Hallander                                3","F","UFA","PIT","26","$0.0","13","4","0.3"
"Nick Leddy                                3","D","UFA","SJS","35","$1.2","22","4","0.2"
"Scott Sabourin                                3","F","UFA","TBL","34","$0.0","18","4","0.2"
"Carl Lindbom                                A","G","SHF","VGK","23","$0.5","8","4","0.5"
"Cole Schwindt                                3","F","UFA","FLA","25","$0.0","22","4","0.2"
"Clay Stevenson                                3","G","UFA","WSH","27","$0.0","3","4","1.3"
"Elias Salomonsson                                3","D","UFA","WPG","22","$0.0","27","4","0.1"
"Robby Fabbri                                3","F","UFA","MIN","30","$0.0","19","4","0.2"
"Hunter Brzustewicz                                A","D","SRL","CGY","21","$0.5","23","3","0.1"
"Zayne Parekh                                A","D","LGN","CGY","20","$0.9","25","3","0.1"
"Erik Gudbranson                                3","D","UFA","CBJ","34","$0.0","25","3","0.1"
"Vladislav Kolyachonok                                3","D","UFA","DAL","25","$0.0","13","3","0.2"
"Max Jones                                3","F","UFA","EDM","28","$0.0","12","3","0.3"
"Noah Philp                                3","F","UFA","EDM","28","$0.0","17","3","0.2"
"Alec Regula                                3","D","UFA","EDM","26","$0.0","29","3","0.1"
"Josh Samanski                                3","F","UFA","EDM","24","$0.0","14","3","0.2"
"Mike Benning                                3","D","UFA","FLA","24","$0.0","5","3","0.6"
"Tobias Bjornfot                                3","D","UFA","FLA","25","$0.0","11","3","0.3"
"Jonah Gadjovich                                3","F","UFA","FLA","27","$0.0","10","3","0.3"
"Marshall Warren                                3","D","UFA","NYI","25","$0.0","8","3","0.4"
"Juuso Parssinen                                3","F","UFA","NYR","25","$0.0","20","3","0.2"
"Donovan Sebrango                                3","D","UFA","FLA","24","$0.0","29","3","0.1"
"Garnet Hathaway                                3","F","UFA","PHI","34","$0.0","57","3","0.1"
"Egor Zamula                                3","D","UFA","PIT","26","$0.0","28","3","0.1"
"Mathew Dumba                                3","D","UFA","PIT","32","$0.0","11","3","0.3"
"Ryan Reaves                                3","F","UFA","SJS","39","$0.0","50","3","0.1"
"Cale Fleury                                3","D","UFA","SEA","27","$0.0","19","3","0.2"
"Joshua Mahura                                3","D","UFA","SEA","28","$0.0","21","3","0.1"
"Matthew Kessel                                3","D","UFA","STL","26","$0.0","27","3","0.1"
"Declan Carlile                                3","D","UFA","TBL","26","$0.0","38","3","0.1"
"Liam O'Brien                                3","F","UFA","UTA","32","$0.0","32","3","0.1"
"Filip Chytil                                IR","F","LPT","VAN","27","$0.9","12","3","0.3"
"Nils Hoglander                                C","F","HSM","VAN","25","$0.5","28","3","0.1"
"Jonathan Lekkerimaki                                A","F","VPP","VAN","22","$0.5","13","3","0.2"
"Vincent Iorio                                3","D","UFA","SJS","23","$0.0","26","3","0.1"
"Noah Gregor                                3","F","UFA","FLA","28","$0.0","24","3","0.1"
"Jordan Harris                                3","D","UFA","BOS","26","$0.0","6","2","0.3"
"Michael Kesselring                                3","D","UFA","BUF","26","$0.0","32","2","0.1"
"Jake Bean                                3","D","UFA","CGY","28","$0.5","16","2","0.1"
"Justin Kirkland                                3","F","UFA","CGY","30","$0.0","20","2","0.1"
"Martin Pospisil                                3","F","UFA","CGY","26","$0.0","16","2","0.1"
"Bradly Nadeau                                A","F","LPT","CAR","21","$0.5","8","2","0.3"
"Sam Lafferty                                3","F","UFA","CHI","31","$0.0","25","2","0.1"
"Jack Ahcan                                3","D","UFA","COL","29","$0.0","9","2","0.2"
"Jake Christiansen                                3","D","UFA","CBJ","27","$0.0","35","2","0.1"
"Travis Hamonic                                3","D","UFA","DET","36","$0.0","25","2","0.1"
"Dominik Shine                                3","F","UFA","DET","33","$0.0","11","2","0.2"
"Andre Lee                                3","F","UFA","LAK","26","$0.0","7","2","0.3"
"Ben Jones                                3","F","UFA","MIN","27","$0.0","26","2","0.1"
"Tyler Pitlick                                3","F","UFA","MIN","34","$0.0","32","2","0.1"
"Arber Xhekaj                                3","D","UFA","MTL","25","$0.0","55","2","0.0"
"Nico Daws                                3","G","UFA","NJD","25","$0.0","1","2","2.0"
"Juho Lammikko                                3","F","UFA","NJD","30","$0.0","24","2","0.1"
"Adam Boqvist                                3","D","UFA","NYI","26","$0.5","22","2","0.1"
"Jaroslav Chmelar                                3","F","UFA","NYR","23","$0.0","17","2","0.1"
"Olle Lycksell                                3","F","UFA","OTT","27","$0.0","7","2","0.3"
"Mads Sogaard                                3","G","UFA","OTT","25","$0.0","2","2","1.0"
"Avery Hayes                                3","F","UFA","PIT","23","$0.0","11","2","0.2"
"Conor Geekie                                A","F","VPP","TBL","22","$0.7","11","2","0.2"
"Philippe Myers                                3","D","UFA","TOR","29","$0.6","35","2","0.1"
"Chris Tanev                                3","D","UFA","TOR","36","$0.0","11","2","0.2"
"Curtis Douglas                                3","F","UFA","TBL","26","$0.0","33","2","0.1"
"Brandon Tanev                                3","F","UFA","UTA","34","$0.0","46","2","0.0"
"Cole Hutson                                A","D","SRL","WSH","20","$0.5","3","2","0.7"
"Haydn Fleury                                3","D","UFA","WPG","30","$0.0","29","2","0.1"
"Brendan Smith                                3","D","UFA","CBJ","32","$0.0","15","2","0.1"
"Sam Colangelo                                3","F","UFA","ANA","24","$0.0","9","1","0.1"
"Matthew Poitras                                3","F","UFA","BOS","22","$0.0","3","1","0.3"
"Victor Soderstrom                                3","D","UFA","BOS","25","$0.0","8","1","0.1"
"Riley Tufte                                3","F","UFA","BOS","28","$0.0","4","1","0.3"
"Justin Robidas                                3","F","UFA","CAR","23","$0.0","2","1","0.5"
"Kevin Korchinski                                A","D","GVR","CHI","22","$0.5","4","1","0.3"
"Dominic Toninato                                3","F","UFA","CHI","32","$0.0","7","1","0.1"
"Alex Barre-Boulet                                3","F","UFA","COL","29","$0.5","1","1","1.0"
"Ivan Ivan                                3","F","UFA","COL","24","$0.0","9","1","0.1"
"Keaton Middleton                                3","D","UFA","COL","28","$0.0","3","1","0.3"
"Luca Del Bel Belluz                                3","F","UFA","CBJ","22","$0.0","13","1","0.1"
"Dysin Mayo                                3","D","UFA","CBJ","30","$0.0","3","1","0.3"
"Mikael Pyyhtia                                3","F","UFA","CBJ","24","$0.0","5","1","0.2"
"Arttu Hyry                                3","F","UFA","DAL","25","$0.0","9","1","0.1"
"Michael Brandsegg-Nygard                                A","F","JHN","DET","20","$0.5","12","1","0.1"
"Justin Holl                                3","D","UFA","STL","34","$0.0","4","1","0.3"
"Connor Clattenburg                                3","F","UFA","EDM","21","$0.0","5","1","0.2"
"Quinn Hutson                                3","F","UFA","EDM","24","$0.0","4","1","0.3"
"Tomas Nosek                                3","F","UFA","FLA","34","$0.0","9","1","0.1"
"Angus Booth                                3","D","UFA","LAK","22","$0.0","1","1","1.0"
"Jared Wright                                3","F","UFA","LAK","23","$0.0","11","1","0.1"
"Nicolas Aube-Kubel                                3","F","UFA","MIN","30","$0.0","4","1","0.3"
